Epoch,Loss
1,0.08199365437030792
2,0.07979580760002136
3,0.07792392373085022
4,0.07617118954658508
5,0.07452835887670517
6,0.07295966893434525
7,0.07144710421562195
8,0.06998006999492645
9,0.0685538649559021
10,0.06716657429933548
11,0.06580997258424759
12,0.06448183208703995
13,0.06317779421806335
14,0.06189965829253197
15,0.060641851276159286
16,0.059413842856884
17,0.05820823833346367
18,0.05702091380953789
19,0.05585434287786484
20,0.054711274802684784
21,0.053585730493068695
22,0.052478618919849396
23,0.05139372870326042
24,0.05032716318964958
25,0.04927752539515495
26,0.04824480041861534
27,0.04723019525408745
28,0.046232372522354126
29,0.04525132477283478
30,0.044290848076343536
31,0.04335125535726547
32,0.04242813587188721
33,0.04152156040072441
34,0.040631383657455444
35,0.03975759819149971
36,0.03890116512775421
37,0.038061629980802536
38,0.037238650023937225
39,0.03643587976694107
40,0.0356542207300663
41,0.03488903120160103
42,0.03413959592580795
43,0.03340592607855797
44,0.032688356935977936
45,0.03198624774813652
46,0.031299516558647156
47,0.030628066509962082
48,0.029971783980727196
49,0.02933056838810444
50,0.02870430052280426
51,0.028092853724956512
52,0.0274960920214653
53,0.02691546455025673
54,0.02635054849088192
55,0.02579985186457634
56,0.025263216346502304
57,0.024739719927310944
58,0.024229660630226135
59,0.023733174428343773
60,0.023249691352248192
61,0.022778648883104324
62,0.022320304065942764
63,0.021874433383345604
64,0.021441221237182617
65,0.021019766107201576
66,0.02060994878411293
67,0.020211976021528244
68,0.019825823605060577
69,0.01945091411471367
70,0.019087180495262146
71,0.018734164535999298
72,0.018391691148281097
73,0.018059542402625084
74,0.017737196758389473
75,0.017424708232283592
76,0.017121827229857445
77,0.016828319057822227
78,0.016543962061405182
79,0.01626853086054325
80,0.016001800075173378
81,0.015743549913167953
82,0.01549356710165739
83,0.015251629054546356
84,0.015017520636320114
85,0.014791028574109077
86,0.014571947045624256
87,0.014360062777996063
88,0.014155171811580658
89,0.013957077637314796
90,0.013765574432909489
91,0.013580472208559513
92,0.01340157724916935
93,0.013228697702288628
94,0.013061651028692722
95,0.012900258414447308
96,0.012744340114295483
97,0.012593721970915794
98,0.012448237277567387
99,0.012307717464864254
100,0.01217199582606554
